band,coef,H2O,CO2,O3,aerosols,N2O,CH4,O2,N2,overlaps,total
B1,c1,0.1725,0,0,0,0,0,0,0,0,0.1725
B1,c2,0,0,0,0,0,0,0,0,0,0
B1,c3,0,0,0,0,0,0,0,0,0,0
B2,c1,0.1083,0.0002,0,0.0002,0.0001,0,0,0,0.0003,0.117
B2,c2,0.0748,0,0,0,0,0,0,0,0,0.0662
B2,c3,270.8944,0,0,0,0,0,0,0,0,270.4686
B3,c1,-0.2308,0.3038,0,0.0001,0.0001,0,0,0,17.077,0.1457
B3,c2,0.6484,-0.5262,0,0,0,0,0,0,-17.0907,0.0417
B3,c3,0.128,0.1497,0,0,0,0,0,0,0.0002,0.0992
B4,c1,0.0289,0.0144,0.0129,0.0159,0.0018,0.0243,0,0,0.0227,0.1057
B4,c2,6.2436,-0.174,-0.497,-0.304,0,-0.0312,0,0,-0.2748,5.8689
B4,c3,0.901,0.7268,1.162,0.8828,0,0.0795,0,0,0.748,0.9633
B5,c1,0.0775,0,-0.0002,0,-0.0006,0,0,0,-0.0001,0.0766
B5,c2,0,0,0,0,0,0,0,0,0,0
B5,c3,0,0,0,0,0,0,0,0,0,0
B6,c1,0.0044,-0.0022,0,0,0,0,0,0,-0.0002,0.0019
B6,c2,0,0,0,0,0,0,0,0,0,0
B6,c3,0,0,0,0,0,0,0,0,0,0
B7,c1,0.0033,-0.0003,0,-0.0001,-0.0001,0,0,0,-0.0002,0.0026
B7,c2,0,0,0,0,0,0,0,0,0,0
B7,c3,0,0,0,0,0,0,0,0,0,0